Partlist

Exported from all_in_one_v2.sch at  3/24/2024 10:02:11a

EAGLE Version 4.16r2 Copyright (c) 1988-2006 CadSoft

Part     Value                       Device                          Package                         Library           Sheet

C1       22p                         C-EUC0603                       C0603                           rcl               1
C2       22p                         C-EUC0603                       C0603                           rcl               1
C3       0.1u                        C-EUC0603                       C0603                           rcl               1
C4       0.1u                        C-EUC0603                       C0603                           rcl               1
C5       0.1u                        C-EUC0603                       C0603                           rcl               1
C6       0.1u                        C-EUC0603                       C0603                           rcl               1
C8       0.1u                        C-EUC0603                       C0603                           rcl               1
C9       22p                         C-EUC0603                       C0603                           rcl               1
C10      22p                         C-EUC0603                       C0603                           rcl               1
C11      0.1u                        C-EUC0603                       C0603                           rcl               1
C12      0.1u                        C-EUC0603                       C0603                           rcl               1
C13      0.1u                        C-EUC0603                       C0603                           rcl               1
C14      0.1u                        C-EUC0603                       C0603                           rcl               1
C15      0.1u                        C-EUC0603                       C0603                           rcl               1
C16      0.1u                        C-EUC0603                       C0603                           rcl               1
C17      0.1u                        C-EUC0603                       C0603                           rcl               1
C18      0.1u                        C-EUC0603                       C0603                           rcl               1
C20      47u                         C-EUC0805                       C0805                           rcl               1
C21      22p                         C-EUC0603                       C0603                           rcl               1
C22      22p                         C-EUC0603                       C0603                           rcl               1
C23      0.1u                        C-EUC0603                       C0603                           rcl               1
C24      0.1u                        C-EUC0603                       C0603                           rcl               1
C25      0.1u                        C-EUC0603                       C0603                           rcl               1
C27      0.1u                        C-EUC0603                       C0603                           rcl               1
C28      0.1u                        C-EUC0603                       C0603                           rcl               1
C29      0.1u                        C-EUC0603                       C0603                           rcl               1
C30      0.01u                       C-EUC0603                       C0603                           rcl               1
C31      0.01u                       C-EUC0603                       C0603                           rcl               1
C32      47u                         C-EUC0805                       C0805                           rcl               1
C33      47u                         C-EUC0805                       C0805                           rcl               1
C34      220u                        C-EUC1206                       C1206                           rcl               1
C35      220u                        C-EUC1206                       C1206                           rcl               1
C36      220u                        C-EUC1206                       C1206                           rcl               1
C37      220u                        C-EUC1206                       C1206                           rcl               1
C38      220u                        C-EUC1206                       C1206                           rcl               1
C39      220u                        C-EUC1206                       C1206                           rcl               1
C40      0.1u                        C-EUC0603                       C0603                           rcl               1
C41      0.1u                        C-EUC0603                       C0603                           rcl               1
C42      5p                          C-EUC0603                       C0603                           rcl               1
C43      47p                         C-EUC0603                       C0603                           rcl               1
C44      330p                        C-EUC0603                       C0603                           rcl               1
C45      330p                        C-EUC0603                       C0603                           rcl               1
C46      330p                        C-EUC0603                       C0603                           rcl               1
C47      0.1u                        C-EUC0603                       C0603                           rcl               1
C48      0.1u                        C-EUC0603                       C0603                           rcl               1
C50      0.1u                        C-EUC0603                       C0603                           rcl               1
C51      0.1u                        C-EUC0603                       C0603                           rcl               1
C52      0.1u                        C-EUC0603                       C0603                           rcl               1
C53      0.1u                        C-EUC0603                       C0603                           rcl               1
C54      0.1u                        C-EUC0603                       C0603                           rcl               1
C55      0.1u                        C-EUC0603                       C0603                           rcl               1
C56      0.1u                        C-EUC0603                       C0603                           rcl               1
C57      220U                        C-US025-050X050                 C025-050X050                    rcl               1
C58      0.1u                        C-EUC0603                       C0603                           rcl               1
C59      0.1u                        C-EUC0603                       C0603                           rcl               1
C60      0.1u                        C-EUC0603                       C0603                           rcl               1
C61      22u                         C-EUC1206                       C1206                           rcl               1
C62      22u                         C-EUC1206                       C1206                           rcl               1
C63      22u                         C-EUC0805                       C0805                           rcl               1
C64      22p                         C-EUC0603                       C0603                           rcl               1
C65      22p                         C-EUC0603                       C0603                           rcl               1
C66      0.1u                        C-EUC0603                       C0603                           rcl               1
C67      0.1u                        C-EUC0603                       C0603                           rcl               1
C68      0.1u                        C-EUC0603                       C0603                           rcl               1
C69      0.1u                        C-EUC0603                       C0603                           rcl               1
C70      0.1u                        C-EUC0603                       C0603                           rcl               1
C71      0.1u                        C-EUC0603                       C0603                           rcl               1
D1       1N4148                      1N4148                          DO35-10                         diode             1
FB1                                  R-US_R0603                      R0603                           rcl               1
IC1      HD63C09P                    HD63C09P                        DIL40                           07-Retrocomputing 1
IC2      PLD_ATF22V10B               PLD_ATF22V10B                   DIL24-3                         07-Retrocomputing 1
IC3      74ALS21D                    74ALS21D                        SO14                            74xx-us           1
IC4      EEP_32KX8_AT28C256          EEP_32KX8_AT28C256              DIL28-6                         07-Retrocomputing 1
IC5      UART_W65C51N                UART_W65C51N                    DIL28-6                         07-Retrocomputing 1
IC6      POR_APX803L05-33SA-7        POR_APX803L05-33SA-7            SOT23                           07-Retrocomputing 1
IC7      PLD_ATF16V8B                PLD_ATF16V8B                    DIL20                           07-Retrocomputing 1
IC8      74LS670D                    74LS670D                        SO16                            74xx-us           1
IC9      74LS670D                    74LS670D                        SO16                            74xx-us           1
